Roll No.,Subject,Project 1,Project 2
DS5B-2101,Python,Download bulk images,Whatsapp Bot
DS5B-2102,Python,Fetch city weather information,Progressbar using tqdm
DS5B-2103,Python,convert jpeg to png,PNG to ICO converter
DS5B-2104,Python,Number Guessing Game,Convert dictionary to python object
DS5B-2105,Python,Not selected,Not selected
DS5B-2106,Python,Find IMDB Ratings,Merge Csv files
DS5B-2107,Python,Not selected,Not selected
DS5B-2108,Python,Recursive password generator,Check website connectivity
DS5B-2109,Python,Decimal to binary and vice versa,PDF to Text
DS5B-2110,Python,Restart and Shutdown System,Send emails
DS5B-2111,Python,Battery Notification,Fetch links from webpage 
DS5B-2112,Python,Not selected,calculator app
DS5B-2113,Python,Instagram Profile Info,Create password hash
DS5B-2114,Python,Merge Pdf Files,Set Random Wallpaper
DS5B-2115,Python,Number guessing game,check leap year
DS5B-2116,Python,Not selected,Not selected
DS5B-2117,Python,XML to JSON file converter ,Duplicate File remover 
DS5B-2118,Python,Language Translator using googletrans,WishList App Using Django
DS5B-2119,Python,add watermark to image,cartoonify an image
DS5B-2120,Python,fip file extractor,Currency convertor cli app
DS5B-2121,Python,Tic Tac Toe with AI,Terminal Based Hangman Game
DS5B-2122,Python,Not selected,Not selected
DS5B-2123,Python,Random Password Generator,Fetch unique words from file
DS5B-2124,Python,Compress file and folders,Test Internet Connection
DS5B-2125,Python,Speech to text converter,Text To speech(mp3)
DS5B-2126,Python,Decimal to binary and vice versa,Reduce image size
DS5B-2127,Python,Not selected,Not selected
DS5B-2128,Python,GST calculator,Income tax Calculator
DS5B-2130,Python,Check Leap Year,Covert Image To Pdf
DS5B-2131,Python,Get Ipaddress and Hostname of Website,Save Screenshot of given Website
DS5B-2132,Python,QR code generator,Digital clock using tkinter 
DS5B-2133,Python,Not selected,Not selected
DS5B-2134,Python,Split Folders into Subfolders,Organize file system
DS5B-2135,Python,CountDown Timer,Random word from file
DS5B-2136,Python,Scrape Youtube Video Comment,split video using timeperiod
DS5B-2137,Python,Encrypt and decrypt text,Fetch tweets and save in csv
DS5B-2138,Python,calculate age ,convert number to words
DS5B-2139,Python,Stopwatch Application,Tic Tac Toe
DS5B-2140,Python,Organize file system,Convert Numbers To Words
